alert_id,date,value,baseline,pct_change,zscore,severity,alert_message
A7,2025-01-01,35605.0,121813.14285714286,-0.7077080587128763,-1.115250636818351,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-01
Actual: 35605.00 | Baseline: 121813.14
Drop: -70.8% | Z-score: -1.12
Reasons: Percent drop: -70.8%"
A19,2025-01-02,84813.0,123064.14285714286,-0.3108228113329982,-0.5136096878991536,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-02
Actual: 84813.00 | Baseline: 123064.14
Drop: -31.1% | Z-score: -0.51
Reasons: Percent drop: -31.1%"
A18,2025-01-02,50112.0,122786.42857142857,-0.5918767197398502,-0.9717520527219763,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-02
Actual: 50112.00 | Baseline: 122786.43
Drop: -59.2% | Z-score: -0.97
Reasons: Percent drop: -59.2%"
A17,2025-01-02,60380.0,118542.42857142857,-0.49064650751930894,-0.7481987720195612,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-02
Actual: 60380.00 | Baseline: 118542.43
Drop: -49.1% | Z-score: -0.75
Reasons: Percent drop: -49.1%"
A16,2025-01-02,77338.0,101757.42857142857,-0.23997686374599533,-0.3444069317561259,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-02
Actual: 77338.00 | Baseline: 101757.43
Drop: -24.0% | Z-score: -0.34
Reasons: Percent drop: -24.0%"
A11,2025-01-02,38026.0,123824.71428571429,-0.6929046013200688,-0.7640354481380262,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-02
Actual: 38026.00 | Baseline: 123824.71
Drop: -69.3% | Z-score: -0.76
Reasons: Percent drop: -69.3%"
A14,2025-01-02,29744.0,127626.14285714286,-0.7669443004847865,-0.9332405280606715,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-02
Actual: 29744.00 | Baseline: 127626.14
Drop: -76.7% | Z-score: -0.93
Reasons: Percent drop: -76.7%"
A27,2025-01-03,88948.0,129284.71428571429,-0.31199909833556727,-0.3876859084090131,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-03
Actual: 88948.00 | Baseline: 129284.71
Drop: -31.2% | Z-score: -0.39
Reasons: Percent drop: -31.2%"
A26,2025-01-03,80036.0,124277.85714285714,-0.3559914707251608,-0.5646972893242913,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-03
Actual: 80036.00 | Baseline: 124277.86
Drop: -35.6% | Z-score: -0.56
Reasons: Percent drop: -35.6%"
A22,2025-01-03,100521.0,171185.0,-0.41279317697228146,-0.8179228871872047,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-03
Actual: 100521.00 | Baseline: 171185.00
Drop: -41.3% | Z-score: -0.82
Reasons: Percent drop: -41.3%"
A21,2025-01-03,124036.0,171852.42857142858,-0.2782412152619316,-0.5563655389945046,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-03
Actual: 124036.00 | Baseline: 171852.43
Drop: -27.8% | Z-score: -0.56
Reasons: Percent drop: -27.8%"
A20,2025-01-03,112170.0,147992.2857142857,-0.24205508781345744,-0.4876769252816001,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-03
Actual: 112170.00 | Baseline: 147992.29
Drop: -24.2% | Z-score: -0.49
Reasons: Percent drop: -24.2%"
A38,2025-01-04,21437.0,133531.7142857143,-0.8394613585643645,-1.2762699611606587,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-04
Actual: 21437.00 | Baseline: 133531.71
Drop: -83.9% | Z-score: -1.28
Reasons: Percent drop: -83.9%"
A39,2025-01-04,103781.0,170391.14285714287,-0.3909249139375119,-0.5459424178193605,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-04
Actual: 103781.00 | Baseline: 170391.14
Drop: -39.1% | Z-score: -0.55
Reasons: Percent drop: -39.1%"
A33,2025-01-04,88948.0,165378.57142857142,-0.4621552282641558,-0.6118488061891839,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-04
Actual: 88948.00 | Baseline: 165378.57
Drop: -46.2% | Z-score: -0.61
Reasons: Percent drop: -46.2%"
A32,2025-01-04,142591.0,169724.42857142858,-0.15986755000332475,-0.22010279246531156,MEDIUM,"MEDIUM ALERT — Revenue_d deviated on 2025-01-04
Actual: 142591.00 | Baseline: 169724.43
Drop: -16.0% | Z-score: -0.22
Reasons: Percent drop: -16.0%"
A31,2025-01-04,85708.0,178906.0,-0.5209327803427498,-0.8299358859769357,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-04
Actual: 85708.00 | Baseline: 178906.00
Drop: -52.1% | Z-score: -0.83
Reasons: Percent drop: -52.1%"
A34,2025-01-04,131609.0,154661.7142857143,-0.14905249429168915,-0.23952901916936623,MEDIUM,"MEDIUM ALERT — Revenue_d deviated on 2025-01-04
Actual: 131609.00 | Baseline: 154661.71
Drop: -14.9% | Z-score: -0.24
Reasons: Percent drop: -14.9%"
A49,2025-01-05,45104.0,109365.42857142857,-0.5875844808623253,-1.56220542319921,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-05
Actual: 45104.00 | Baseline: 109365.43
Drop: -58.8% | Z-score: -1.56
Reasons: Percent drop: -58.8%"
A48,2025-01-05,83328.0,106443.57142857143,-0.2171626817696835,-0.5463700930397605,HIGH,"HIGH ALERT — Revenue_d deviated on 2025-01-05
Actual: 83328.00 | Baseline: 106443.57
Drop: -21.7% | Z-score: -0.55
Reasons: Percent drop: -21.7%"
A47,2025-01-05,95252.0,107344.14285714286,-0.1126483712598598,-0.2883301278911064,MEDIUM,"MEDIUM ALERT — Revenue_d deviated on 2025-01-05
Actual: 95252.00 | Baseline: 107344.14
Drop: -11.3% | Z-score: -0.29
Reasons: Percent drop: -11.3%"
